time,latitude,longitude,altitude_ft,airspeed_kts,groundspeed_kts,vertical_speed_fpm,roll_deg,pitch_deg,heading_deg,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r
2.900,42.3630,-71.0884,1514.5,99.0,102.0,100.0,14.5,5.5,92.9,0.52,-0.44,10.01,0.50,0.08,0.42
3.000,42.3631,-71.0882,1515.0,99.0,102.0,100.0,15.0,5.5,93.0,0.50,-0.42,10.01,0.48,0.07,0.40
3.100,42.3632,-71.0880,1515.5,99.0,102.0,100.0,14.5,5.5,93.1,0.48,-0.40,10.01,0.46,0.06,0.38
3.200,42.3633,-71.0878,1516.0,99.0,102.0,100.0,14.0,5.5,93.2,0.46,-0.38,10.01,0.44,0.05,0.36
3.300,42.3634,-71.0876,1516.5,99.0,102.0,100.0,13.5,5.5,93.3,0.44,-0.36,10.01,0.42,0.04,0.34
3.400,42.3635,-71.0874,1517.0,99.0,102.0,100.0,13.0,5.5,93.4,0.42,-0.34,10.01,0.40,0.03,0.32
3.500,42.3636,-71.0872,1517.5,99.0,102.0,100.0,12.5,5.5,93.5,0.40,-0.32,10.01,0.38,0.02,0.30
3.600,42.3637,-71.0870,1518.0,99.0,102.0,100.0,12.0,5.5,93.6,0.38,-0.30,10.01,0.36,0.01,0.28
3.700,42.3638,-71.0868,1518.5,99.0,102.0,100.0,11.5,5.5,93.7,0.36,-0.28,10.01,0.34,0.00,0.26
3.800,42.3639,-71.0866,1519.0,99.0,102.0,100.0,11.0,5.5,93.8,0.34,-0.26,10.01,0.32,-0.01,0.24
3.900,42.3640,-71.0864,1519.5,99.0,102.0,100.0,10.5,5.5,93.9,0.32,-0.24,10.01,0.30,-0.02,0.22
4.000,42.3641,-71.0862,1520.0,99.0,102.0,100.0,10.0,5.5,94.0,0.30,-0.22,10.01,0.28,-0.03,0.20
4.100,42.3642,-71.0860,1520.5,99.0,102.0,50.0,9.5,5.4,94.1,0.28,-0.20,9.99,0.26,-0.04,0.18
4.200,42.3643,-71.0858,1521.0,99.0,102.0,50.0,9.0,5.3,94.2,0.26,-0.18,9.97,0.24,-0.05,0.16
4.300,42.3644,-71.0856,1521.5,99.0,102.0,50.0,8.5,5.2,94.3,0.24,-0.16,9.95,0.22,-0.06,0.14
4.400,42.3645,-71.0854,1522.0,99.0,102.0,50.0,8.0,5.1,94.4,0.22,-0.14,9.93,0.20,-0.07,0.12
4.500,42.3646,-71.0852,1522.5,99.0,102.0,50.0,7.5,5.0,94.5,0.20,-0.12,9.91,0.18,-0.08,0.10
4.600,42.3647,-71.0850,1523.0,99.0,102.0,50.0,7.0,4.9,94.6,0.18,-0.10,9.89,0.16,-0.09,0.08
4.700,42.3648,-71.0848,1523.5,99.0,102.0,50.0,6.5,4.8,94.7,0.16,-0.08,9.87,0.14,-0.10,0.06
4.800,42.3649,-71.0846,1524.0,99.0,102.0,50.0,6.0,4.7,94.8,0.14,-0.06,9.85,0.12,-0.11,0.04
4.900,42.3650,-71.0844,1524.5,99.0,102.0,50.0,5.5,4.6,94.9,0.12,-0.04,9.83,0.10,-0.12,0.02
5.000,42.3651,-71.0842,1525.0,99.0,102.0,0.0,5.0,4.5,95.0,0.10,-0.02,9.81,0.08,-0.13,0.00
